id,Cost,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,cleanliness_rating,guest_satisfaction,bedrooms,dist,metro_dist,lng,lat
946,258.644794482244,Private room,False,True,2,False,1,10,94,1,2.75,0.134,2.32,48.844
947,266.567247646565,Entire home/apt,False,False,2,False,0,9,89,1,4.8,0.186,2.296,48.878
948,565.523347935501,Entire home/apt,False,False,2,True,0,9,97,1,3.517,0.51,2.306,48.862
949,257.013701183707,Entire home/apt,False,False,4,False,0,9,92,1,3.902,0.195,2.301,48.849
950,601.407400503308,Entire home/apt,False,False,4,True,0,10,99,1,3.986,0.195,2.3,48.848
951,1031.78301798862,Entire home/apt,False,False,4,False,0,10,96,2,1.948,0.179,2.33,48.847
952,906.421847329667,Entire home/apt,False,False,6,False,0,10,80,3,4.189,0.071,2.301,48.84
953,753.332090595582,Entire home/apt,False,False,4,False,1,10,98,2,2.321,0.207,2.332,48.841
954,321.092366483362,Entire home/apt,False,False,2,False,0,9,94,1,1.622,0.164,2.332,48.852
955,238.838661571441,Private room,False,True,2,False,0,9,95,1,4.4,0.201,2.293,48.863
956,560.863081368254,Entire home/apt,False,False,4,False,0,9,92,1,5.283,0.353,2.286,48.874
957,264.237114362941,Private room,False,True,2,False,0,10,92,1,2.616,0.074,2.326,48.841
958,853.061795134681,Entire home/apt,False,False,6,True,0,9,96,1,3.923,0.346,2.305,48.873
959,336.238232826917,Entire home/apt,False,False,2,False,0,9,93,1,4.131,0.326,2.299,48.846
960,471.385963277099,Entire home/apt,False,False,3,True,0,10,97,1,3.186,0.205,2.31,48.86
961,237.207568272905,Entire home/apt,False,False,2,False,0,9,89,0,4.119,0.371,2.3,48.843
962,475.347189859259,Entire home/apt,False,False,4,True,0,10,97,1,2.359,0.188,2.324,48.847
963,359.073539006431,Entire home/apt,False,False,3,True,0,10,99,1,3.95,0.3,2.304,48.842
964,562.028148010066,Entire home/apt,False,False,4,False,0,9,86,1,3.274,0.321,2.308,48.86
965,550.377481591947,Entire home/apt,False,False,4,False,1,10,88,1,3.326,0.353,2.308,48.86
966,1506.89719451952,Entire home/apt,False,False,4,False,0,9,92,1,2.239,0.137,2.327,48.845
967,289.868580482803,Entire home/apt,False,False,2,False,0,10,100,0,3.773,0.38,2.305,48.869
968,387.967191723366,Entire home/apt,False,False,2,True,0,10,99,2,5.572,0.179,2.284,48.878
969,394.025538260788,Entire home/apt,False,False,2,False,0,8,76,1,3.372,0.258,2.307,48.857
970,438.065057321278,Entire home/apt,False,False,2,True,0,10,100,1,4.48,0.283,2.308,48.884
971,291.965700438065,Entire home/apt,False,False,3,False,0,8,77,0,2.136,0.193,2.324,48.852
972,548.047348308323,Entire home/apt,False,False,4,True,0,10,98,1,3.83,0.379,2.304,48.87
973,534.06654860658,Entire home/apt,False,False,3,False,0,9,82,1,3.31,0.39,2.308,48.861
974,324.354553080436,Private room,False,True,2,False,0,9,89,1,1.19,0.186,2.337,48.854
975,1412.99282318948,Entire home/apt,False,False,6,True,0,10,97,2,4.043,0.251,2.304,48.873
976,1147.35762885637,Entire home/apt,False,False,5,False,0,10,100,3,3.781,0.245,2.307,48.872
977,463.463510112778,Private room,False,True,4,False,0,7,75,1,3.53,0.109,2.311,48.873
978,743.079504147637,Entire home/apt,False,False,4,True,0,10,97,1,3.7,0.284,2.306,48.869
979,366.063938857302,Private room,False,True,4,False,0,9,86,2,1.19,0.186,2.337,48.854
980,475.347189859259,Entire home/apt,False,False,2,True,0,10,100,1,3.935,0.265,2.31,48.878
981,470.453909963649,Private room,False,True,2,False,0,9,91,1,1.19,0.186,2.337,48.854
982,354.646285767545,Entire home/apt,False,False,2,True,0,10,91,0,5.695,0.517,2.285,48.882
983,486.531829620654,Private room,False,True,5,False,0,9,92,2,1.19,0.186,2.337,48.854
984,562.028148010066,Entire home/apt,False,False,4,False,1,10,89,1,3.379,0.385,2.307,48.861
985,534.06654860658,Entire home/apt,False,False,3,False,0,10,80,1,3.367,0.305,2.307,48.86
986,420.822071022462,Entire home/apt,False,False,4,True,0,10,98,2,5.563,0.538,2.288,48.883
987,529.639295367695,Entire home/apt,False,False,2,False,0,8,80,1,1.19,0.159,2.337,48.853
988,573.445801099822,Entire home/apt,False,False,2,False,1,10,100,0,1.766,0.237,2.332,48.849
989,271.227514213813,Entire home/apt,False,False,2,True,0,10,99,1,3.571,0.186,2.31,48.841
990,797.371609656072,Entire home/apt,False,False,4,True,0,10,97,1,3.364,0.246,2.307,48.858
991,218.799515332277,Private room,False,True,2,False,1,9,87,1,4.125,0.342,2.297,48.852
992,492.357162829713,Entire home/apt,False,False,3,False,0,10,89,1,3.363,0.124,2.309,48.847
993,492.357162829713,Entire home/apt,False,False,3,False,0,8,77,1,3.347,0.142,2.31,48.847
994,562.028148010066,Entire home/apt,False,False,4,False,1,10,95,1,3.317,0.271,2.308,48.86
995,322.257433125174,Entire home/apt,False,False,2,True,0,10,97,1,3.215,0.33,2.309,48.861
996,596.048093950974,Entire home/apt,False,False,3,False,1,10,93,1,3.429,0.371,2.306,48.86
997,492.357162829713,Entire home/apt,False,False,3,False,1,9,87,1,3.237,0.193,2.311,48.847
998,383.539938484481,Private room,False,True,2,False,0,9,94,1,2.408,0.234,2.325,48.845
999,683.661105415229,Entire home/apt,False,False,4,False,0,10,98,2,2.413,0.054,2.322,48.849
1000,691.816571907913,Private room,False,True,2,False,0,10,100,1,2.346,0.216,2.326,48.845
1001,457.638176903718,Entire home/apt,False,False,2,False,0,9,94,0,1.246,0.255,2.339,48.85
1002,462.531456799328,Entire home/apt,False,False,3,False,0,8,84,2,5.653,0.53,2.286,48.882
1003,534.06654860658,Entire home/apt,False,False,3,False,1,8,100,1,3.3,0.298,2.308,48.86
1004,266.567247646565,Entire home/apt,False,False,2,False,1,7,87,0,3.701,0.089,2.304,48.848
1005,1121.95917606487,Entire home/apt,False,False,4,False,1,10,100,1,1.28,0.095,2.336,48.852
