Property_name,Price (dollars),Year_Built,Property_Type,Area (sq ft),Tax (dollars/year),Total_room,Bedroom,Bathroom,Area_code,Price (euros),Prop_size (m^2)
Victor Hugo/rue de la Pompe,1510870.0,1900.0,Apartments,957.0,2350.0,5.0,2.0,2.0,75016,1390000.0,88.0
Family duplex - Paris 4th - Rambuteau district,1510870.0,1800.0,Duplex Homes,1367.0,932.0,5.0,4.0,2.0,75004,1390000.0,125.0
EXCLUSIVITÃ‰ - Paris 1er - Louvre /Rivoli - Charmant appartement Familial,1510870.0,1800.0,Apartments,1162.0,2614.5196078431372,5.0,4.0,3.0,75001,1390000.0,106.0
Paris 7 - Gros Caillou/Saint Dominique,1510870.0,1920.0,Apartments,990.0,1249.0,5.0,2.0,2.0,75007,1390000.0,91.0
PARIS XVI - Family apartment - 4 bedrooms,1510870.0,1931.0,Apartments,1636.0,4582.0,6.0,4.0,5.0,75016,1390000.0,150.0
Paris XVI - La Fontaine - Castel BÃ©ranger,1500000.0,1898.0,Apartments,904.0,2614.5196078431372,4.0,1.0,2.0,75016,1380000.0,83.0
Appartement vue dÃ©gagÃ©e,1494565.0,1956.0,Apartments,1280.0,2614.5196078431372,5.0,2.0,2.0,75016,1374999.0,117.0
Apartment,1478261.0,1880.0,Apartments,613.0,1336.0,5.0,2.0,2.0,75006,1360000.0,56.0
Apartment,1478261.0,1880.0,Apartments,613.0,1336.0,5.0,1.0,2.0,75006,1360000.0,56.0
Pereire / Batignolles,1472826.0,1930.0,Apartments,1388.0,2476.0,5.0,2.0,3.0,75017,1354999.0,127.0
Garden level in a building with swimming pool.,1467391.0,1780.0,Apartments,473.0,890.0,2.0,1.0,2.0,75007,1349999.0,43.0
