Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Loft-style apartment - MarchÃ© de LÃ©vis - Villiers - 2 Rooms,1900.0,apartment,1737.0,5.0,2.0,4.0,1989999.0,145
Family apartment with terrace and balcony - Pereire-AmpÃ¨re,1898.0,apartment,2883.0,5.0,3.0,3.0,1989999.0,146
Nice bright apartment on the last floors with balconies and unobstructed views.,1950.0,apartment,2893.0,4.0,2.0,4.0,1989999.0,100
Charming duplex Saint Germain Des PrÃ©s center Paris,1800.0,apartment,2601.0,4.0,2.0,4.0,1989999.0,108
Paris 18th - Montmartre - Apartment with Garden Renovated by an Architect,1800.0,apartment,1628.0,3.0,2.0,3.0,1989999.0,87
Apartment,1840.0,apartment,2601.0,5.0,3.0,3.0,1989999.0,130
Apartment in Paris 16th - Dauphine,1960.0,apartment,2601.0,5.0,3.0,4.0,1974999.0,136
Charming apartment with stunning views in Paris 5th.,1895.0,apartment,2601.0,4.0,2.0,2.0,1969999.0,142
Paris 11. Loft de 170mÂ² avec terrasse,1983.0,apartment,2601.0,4.0,3.0,4.0,1969999.0,168
Apartment,1890.0,apartment,1555.0,5.0,2.0,2.0,1920000.0,89
Apartment,1910.0,apartment,2712.0,8.0,5.0,2.0,1899999.0,114
Paris 9 - 3 bedrooms apartment in the heart of the theater district,1880.0,apartment,2601.0,4.0,3.0,2.0,1895000.0,145
Tuileries Garden / Place VendÃ´me - Beautiful Apartment,1840.0,apartment,2601.0,2.0,1.0,2.0,1890000.0,72
Passy - Kennedy : Beautiful apartment with views,1921.0,apartment,3891.0,5.0,5.0,3.0,1890000.0,150
Apartment in Paris 9th - Avenue Fochot,1880.0,apartment,2601.0,5.0,1.0,2.0,1879999.0,96
PARIS 15 - PENTHOUSE WITH TERRACES,1968.0,apartment,3374.0,5.0,3.0,4.0,1874999.0,136
Paris 7th - 2 bedrooms - Gros caillou,1800.0,apartment,2601.0,5.0,2.0,4.0,1872000.0,89
Lovely renovated apartment with terrace in the heart of Paris.,1850.0,apartment,1348.0,5.0,2.0,4.0,1850000.0,102
"PARIS 17, TRIUMPHAL ARCH",1880.0,apartment,3657.0,5.0,3.0,3.0,1850000.0,139
Family apartment - 5 bedrooms - VILLAGE d'AUTEUIL - PARIS XVI,1954.0,apartment,3573.0,7.0,5.0,4.0,1800000.0,159
Contemporary house on 3 levels - Paris 19th - Bolivar,1954.0,Single Family Homes,2566.0,5.0,3.0,7.0,1798000.0,247
Apartment in Paris 8th - Montaigne / FranÃ§ois 1er,1960.0,apartment,2601.0,3.0,2.0,3.0,1789999.0,84
3-room apartment - Paris 16th - Victor Hugo,1904.0,apartment,2601.0,3.0,2.0,2.0,1750000.0,113
Paris 20th - Saint-Blaise - Superb loft with Gustave Eiffel glass roof.,1900.0,apartment,1227.0,5.0,2.0,4.0,1750000.0,237
APPARTEMENT TRIANGLE D'OR - PARIS 8Ã¨me,1963.0,apartment,1632.0,2.0,1.0,2.0,1750000.0,55
Apartment in Paris 16th - Ranelagh,1910.0,apartment,2601.0,4.0,3.0,3.0,1739999.0,120
Apartment in Paris 16th - Belles Feuilles / Victor Hugo,1963.0,apartment,2391.0,5.0,3.0,4.0,1735000.0,133
Apartment for sale in Paris 15th - Seine,1976.0,apartment,2337.0,5.0,3.0,4.0,1694999.0,134
Elegant 5 rooms - Paris XVI,1925.0,apartment,2601.0,5.0,2.0,3.0,1690000.0,136
Perfect condition-Saint-Germain de PrÃ©s-Two bedrooms,1890.0,apartment,2601.0,3.0,2.0,2.0,1680000.0,79
Paris 12 - Daumesnil - Apartment with double terrace,1970.0,apartment,2541.0,4.0,2.0,3.0,1669999.0,140
Sole Agent - Crossing apartment with balcony,1882.0,apartment,2009.0,5.0,2.0,4.0,1665000.0,101
Rue du Bac : perfect renovated pied-Ã -terre.,1830.0,apartment,2601.0,3.0,2.0,2.0,1649999.0,73
High floor family apartment with balcony - Ternes/Maillot,1932.0,apartment,2979.0,5.0,3.0,2.0,1649999.0,135
