id,room_type,room_sharing,room_private,person_capacity,host_status,multi_listing,business_listing,cleanliness_rating,guest_satisfaction_rating,bedrooms,dist_city,dist_metro,attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude,price
1681,Entire home/apt,False,False,2,False,0,0,10,100,1,3.832367291,0.170007341,387.0538541,18.82052176,771.1215921,35.57363708,2.34,48.89,336.0052195
1682,Private room,False,True,4,False,0,1,10,100,1,3.022369615,0.108722694,403.6898848,19.62944997,879.9452773,40.59392742,2.34611,48.8834,394.0255383
1683,Entire home/apt,False,False,4,False,0,1,7,69,0,1.536841342,0.060503055,455.3604794,22.14193638,1231.165143,56.79651877,2.34955,48.87023,387.2681517
1684,Entire home/apt,False,False,2,False,1,0,7,70,1,2.471734547,0.026937417,455.0042161,22.12461305,1087.685102,50.17744994,2.33687,48.87618,441.5602572
1685,Entire home/apt,False,False,2,False,0,0,8,88,0,2.576125606,0.154884984,287.9235511,14.00030358,747.0798693,34.46453635,2.36404,48.87851,195.4981825
1686,Entire home/apt,False,False,2,True,0,0,10,95,0,3.201985604,0.090860046,400.5173737,19.47518638,1043.86567,48.15595734,2.33384,48.88253,289.6355672
1687,Shared room,True,False,4,False,0,1,10,100,1,1.6436477,0.216063338,372.5253069,18.1140701,998.3992671,46.05848617,2.3574,48.87103,127.9243173
1688,Shared room,True,False,4,False,0,1,10,100,1,1.637928479,0.192117977,377.9921992,18.37989814,1010.236682,46.60457372,2.3566,48.87108,127.9243173
1689,Entire home/apt,False,False,4,False,0,1,8,78,1,2.003336404,0.288432496,405.2745268,19.7065033,1097.333509,50.62255345,2.34832,48.87435,701.137105
1690,Entire home/apt,False,False,4,False,0,0,9,90,1,3.02372912,0.233352051,256.1782813,12.45668753,639.2173817,29.48858829,2.36795,48.88185,289.8685805
1691,Private room,False,True,2,False,1,0,9,94,1,3.139815158,0.120732984,254.9506307,12.39699293,623.7101267,28.77320246,2.36674,48.88326,151.4586634
1692,Entire home/apt,False,False,2,False,0,0,10,100,0,2.896813154,0.220070325,415.7913764,20.21788587,1058.051874,48.81040003,2.33657,48.88034,276.5868208
1693,Entire home/apt,False,False,2,False,0,0,9,80,1,4.226622652,0.164198814,294.6323335,14.32651861,657.4997487,30.33199651,2.32873,48.89113,202.954609
1694,Entire home/apt,False,False,2,False,0,0,10,99,0,4.207120208,0.530823804,311.1525852,15.12981705,718.3011408,33.1369065,2.31633,48.88581,161.7112499
1695,Entire home/apt,False,False,6,False,0,0,9,96,2,2.638699705,0.315110263,406.6049915,19.77119724,1024.593903,47.26690579,2.34162,48.87914,645.4469196
1696,Entire home/apt,False,False,4,False,0,1,10,92,1,3.156563172,0.184278596,438.5712352,21.32555816,862.7013049,39.79842277,2.34571,48.88458,461.1333768
1697,Entire home/apt,False,False,3,False,0,1,10,86,2,2.336886775,0.188165857,268.9538892,13.0779024,701.4303839,32.35861914,2.37438,48.872,793.7599030000001
1698,Entire home/apt,False,False,2,False,0,0,10,93,0,3.11559619,0.100051124,260.4054926,12.66223599,635.8854728,29.33487956,2.36526,48.88335,236.7415416
1699,Private room,False,True,2,True,0,0,10,98,1,3.236868553,0.129713958,372.3630376,18.10617975,778.5623619,35.91689714,2.34884,48.88557,301.2862336
1700,Entire home/apt,False,False,2,False,0,0,9,96,0,3.652583958,0.373001518,389.0507439,18.91762067,942.4004733,43.47513124,2.33412,48.88704,240.9357815
1701,Entire home/apt,False,False,4,False,0,0,10,100,1,2.579175411,0.162877602,334.3930531,16.25988649,856.5389917,39.51414089,2.35671,48.87962,264.2371144
1702,Entire home/apt,False,False,4,False,0,1,8,73,0,1.865503567,0.156034476,331.0149195,16.0956245,936.6211493,43.20851755,2.36277,48.87199,398.6858048
1703,Entire home/apt,False,False,4,False,0,0,10,100,1,2.344993003,0.133931724,264.3709222,12.85505529,703.4164955,32.4502431,2.37633,48.87081,324.3545531
1704,Entire home/apt,False,False,4,False,0,0,9,93,2,3.226153511,0.06319955,392.81307,19.10056406,914.2351862,42.17580087,2.3273,48.88024,509.8331625
1705,Entire home/apt,False,False,4,False,1,0,10,100,0,2.447721109,0.247156607,271.9448424,13.22333771,704.9788076,32.5223162,2.371,48.875,486.5318296
1706,Entire home/apt,False,False,2,False,0,0,10,100,1,3.91813849,0.320690556,342.8384387,16.67054398,771.5383641,35.59286374,2.33371,48.8895,243.2659148
1707,Entire home/apt,False,False,2,False,1,0,10,100,0,2.40445987,0.251538396,419.5316725,20.39975804,1087.944929,50.18943634,2.34182,48.87696,146.0993569
1708,Entire home/apt,False,False,3,False,0,0,9,95,1,2.951285679,0.132760959,365.0622303,17.75117746,826.7495544,38.13988469,2.349,48.883,295.4609004
1709,Entire home/apt,False,False,2,False,0,0,10,100,1,3.521313426,0.247524667,367.4320922,17.86641217,947.5277499,43.71166447,2.33065,48.88469,246.2950881
1710,Entire home/apt,False,False,2,False,0,0,10,100,1,2.543939856,0.131375208,429.5244374,20.88565696,1083.463043,49.98267648,2.3388,48.87752,336.0052195
1711,Entire home/apt,False,False,6,False,0,1,10,97,1,2.294629651,0.006388847,383.0114601,18.62396006,1024.442937,47.25994139,2.34831,48.877,622.3786001
1712,Private room,False,True,2,False,0,1,9,95,1,3.56507973,0.24897728,376.4956507,18.30712836,768.1815696,35.43800698,2.34737,48.88844,185.944636
1713,Entire home/apt,False,False,2,False,0,1,9,88,0,2.081839903,0.179206624,293.0822989,14.25114807,781.8110565,36.066767,2.37023,48.87132,155.8859167
1714,Entire home/apt,False,False,2,False,0,0,9,100,1,2.459917121,0.253851635,424.3383265,20.63348194,1121.942616,51.75782892,2.34047,48.87716,324.3545531
1715,Entire home/apt,False,False,3,False,0,1,9,90,1,3.042875424,0.041838404,423.2254789,20.57936965,910.0060938,41.98070298,2.34478,48.88343,370.7242054
1716,Entire home/apt,False,False,4,False,0,1,8,80,1,2.5929826,0.305869654,376.4318537,18.30402622,978.4399602,45.13771681,2.34736,48.87962,477.4443098
1717,Private room,False,True,2,False,0,1,10,90,1,3.342540305,0.221387926,377.3446637,18.34841168,925.2440762,42.68366664,2.32841,48.88199,249.5572747
1718,Private room,False,True,2,False,0,1,10,85,1,3.250567652,0.301923378,386.5528921,18.79616245,932.4584752,43.01648368,2.32989,48.88162,249.5572747
1719,Entire home/apt,False,False,2,False,0,0,10,100,1,2.583252865,0.341338523,400.6776305,19.48297888,1045.751617,48.24296048,2.34312,48.87892,298.9561003
1720,Private room,False,True,2,False,0,0,8,80,0,3.403719282,0.182185571,409.9130475,19.9320517,1047.351785,48.31677995,2.33475,48.88479,174.2939696
1721,Entire home/apt,False,False,3,False,0,0,7,87,1,2.586327873,0.075528735,296.0010727,14.39307365,755.3074031,34.84409167,2.36204,48.87901,382.3748718
1722,Entire home/apt,False,False,3,False,0,0,10,100,1,1.815312071,0.253078723,328.9815644,15.99675246,898.6388475,41.4563054,2.36455,48.87092,266.5672476
1723,Entire home/apt,False,False,2,False,0,0,8,96,1,2.908668632,0.265549613,251.4212192,12.22537504,625.7719207,28.86831782,2.37159,48.87959,209.0129555
1724,Entire home/apt,False,False,3,False,0,0,10,93,0,1.970904608,0.115844655,303.1977312,14.7430117,820.1156569,37.83384752,2.36944,48.87046,266.5672476
1725,Entire home/apt,False,False,2,False,0,0,9,97,0,2.012762275,0.080833668,297.0536171,14.4442537,799.0957558,36.86415048,2.37038,48.87044,384.7050051
1726,Entire home/apt,False,False,2,False,0,0,6,80,1,4.014513392,0.267140397,333.9155923,16.23666993,752.933489,34.73457747,2.31611,48.8834,266.5672476
1727,Entire home/apt,False,False,2,False,0,0,10,96,1,2.589357892,0.104946253,264.6355132,12.86792105,678.0140616,31.2783696,2.37148,48.87631,195.4981825
1728,Entire home/apt,False,False,2,False,0,1,10,100,0,1.721490115,0.138158873,345.2423985,16.7874367,925.3286668,42.687569,2.3628,48.87056,417.0938578
1729,Entire home/apt,False,False,4,False,0,1,10,100,1,1.727361864,0.029088248,346.1282092,16.83050931,1699.5475127499997,87.445290225,2.36147,48.871,753.3320906
1730,Entire home/apt,False,False,2,False,0,0,9,98,0,2.413215162,0.279876546,292.0638368,14.20162528,753.887762,34.77860031,2.3649,48.87674,183.1484761
1731,Entire home/apt,False,False,2,False,0,0,2,60,1,3.188775178,0.257761731,411.7996294,20.02378688,829.0712217,38.24698861,2.347,48.885,312.7038867
1732,Entire home/apt,False,False,2,False,0,0,10,100,0,2.449542402,0.018019267,456.9060644,22.21709056,1088.741036,50.22616262,2.33703,48.87601,231.6152484
1733,Entire home/apt,False,False,2,False,0,0,10,100,1,2.461970116,0.14641847,436.467369,21.22325751,1108.647077,51.14447472,2.33896,48.87676,533.1344953
1734,Entire home/apt,False,False,3,False,0,0,9,100,1,2.375220431,0.152194171,369.3867899,17.96145948,962.5370574,44.40407882,2.34989,48.87785,304.5484202
1735,Entire home/apt,False,False,3,False,0,0,9,95,1,1.971874689,0.011842947,298.5768293,14.51832001,813.8583841,37.54518494,2.3707,48.86977,283.8102339
1736,Entire home/apt,False,False,4,False,0,0,10,93,1,2.831285939,0.171721195,393.4511991,19.13159313,943.4952723,43.52563687,2.34509,48.88153,336.0052195
1737,Entire home/apt,False,False,2,False,0,0,10,100,0,2.810992946,0.197245286,414.9245705,20.17573737,1056.036862,48.71744281,2.33838,48.88001,312.9369
1738,Entire home/apt,False,False,2,False,0,1,9,87,1,2.609716093,0.367064376,256.972384,12.49530084,654.1462451,30.17729157,2.3748,48.87499,459.9683102
