,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,Description,Arrondissement_Name
2302,Louvre - Paris,75001,1,20,1075,1,2,3,0.0,01-07-2024,"This 20 square meters , Studio, apartment is located on rue Sauval in the 1st arrondissement, on the 3 rd French floor of a 18th century walk up building and it sleeps 2 people. This apartment is equipped with : TV, unlimited high speed internet access with the wifi, stereo, washer, cable.",Louvre
2303,Ile Saint Louis - Paris,75004,4,17,1774,1,2,5,1.0,08/21/2024,"This 17 square meters , Alcove Studio, apartment is located on rue Boutarel in the 4th arrondissement, on the 5 th French floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access, phone.",Hôtel-de-Ville
2304,Gare de l'Est - Paris,75010,10,43,1667,1,4,3,1.0,08/24/2024,"This charming 43 square meters , 1 Bedroom, apartment is located on rue de Paradis in the 10th arrondissement, on the 3 rd French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : washer, dryer, unlimited high speed internet access with the wifi, DVD, decorative fireplace, dishwasher, TV, cable.",Entrepôt
2305,Tuileries - Paris,75001,1,30,2689,1,2,7,1.0,08/31/2024,"This elegant and very well situated 30 square meters , 1 Bedroom, apartment is located on rue Saint Honore in the 1st arrondissement, on the 7 th French floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : A/C, washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi.",Louvre
2306,Champs de Mars - Tour Eiffel - Paris,75015,15,22,1344,1,2,4,0.0,08/31/2024,"This charming 22 square meters , 1 Bedroom, apartment is located on rue de l Amiral Roussin in the 15th arrondissement, on the 4 th French floor of a 20th century walk up building and it sleeps 2 people. This apartment is equipped with : washer-dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, phone, DVD, decorative fireplace.",Vaugirard
2307,Butte aux Cailles - Paris,75013,13,21,1344,1,2,5,0.0,09-01-2024,"This charming 21 square meters , Alcove Studio, apartment is located on rue Michal in the 13th arrondissement, on the 5 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access with the wifi, terrace.",Gobelins
2308,Montmartre - Sacré Coeur - Paris,75009,9,22,930,1,2,0,0.0,now,"This 22 square meters , Studio, apartment is located on avenue Trudaine in the 9th arrondissement, on the ground floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dryer, TV, phone.",Opéra
2309,Buttes Chaumont - Paris,75019,19,32,1290,1,4,2,1.0,now,"This cozy 32 square meters , Alcove Studio, apartment is located on Cour du Septieme Art in the 19th arrondissement, on the 2 nd French floor of a 21th century building and it sleeps 4 people. This apartment is equipped with : dishwasher, TV, unlimited high speed internet access, stereo.",Buttes-Chaumont
2310,Bastille - Paris,75011,11,30,1495,1,2,1,0.0,09-01-2024,"This 30 square meters , 1 Bedroom, apartment is located on rue Pache in the 11th arrondissement, on the 1 st French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, TV, unlimited high speed internet access, phone.",Popincourt
2311,Mairie du 18ème - Paris,75018,18,30,1344,1,4,3,0.0,09-01-2024,"This 30 square meters , 1 Bedroom, apartment is located on rue du Poteau in the 18th arrondissement, on the 3 rd French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, phone, stereo.",Butte-Montmartre
2312,Commerce - Paris,75015,15,42,1613,1,3,3,0.0,09-01-2024,"This charming and atypical 42 square meters (loi carrez) full ground surface = 58 square meters , 1 Bedroom, apartment is located on rue de la Croix Nivert in the 15th arrondissement, on the 3 rd and last French floor of a 20th century walk up building and it sleeps 2 to 3 people. There is a mezzanine where you cannot be stand up. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi.",Vaugirard
2313,Passy - Paris,75016,16,70,3226,2,4,6,1.0,now,"This modern and chic 70 square meters , 2 Bedroom, apartment is located on rue de Passy in the 16th arrondissement, on the 6 th French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi.",Passy
